What is 7,845 + 6,279?|14,124#13,124#14,024#14,224
Which process changes a gas into a liquid?|Condensation#Evaporation#Sublimation#Freezing
Why does the Earth experience day and night?|Earth rotates on its axis#Earth revolves around the Moon#The Sun revolves around Earth#The Moon blocks sunlight every night
Approximately how long does Earth take to orbit the Sun?|365 days#24 hours#30 days#12 hours
What causes the phases of the Moon?|The changing position of the Moon relative to Earth and the Sun#The Moon changing shape#Clouds covering the Moon#Earth changing size
Which force keeps planets in orbit around the Sun?|Gravity#Friction#Magnetism#Electricity
What happens to a shadow when an object moves closer to a light source?|It usually becomes larger#It disappears#It becomes colder#It changes into a reflection
Which material is generally a good electrical conductor?|Copper#Rubber#Plastic#Glass
What is a circuit?|A complete path through which electric current can flow#A type of battery#A source of light only#A piece of wire without connections
What happens if a circuit is open?|Current cannot flow continuously#The current becomes stronger#The battery becomes larger#The bulb always gets brighter
What is adaptation in biology?|A feature that helps an organism survive in its environment#A temporary change in weather#A type of food#A human-made machine
Why are decomposers important in an ecosystem?|They return nutrients to the environment#They stop plants growing#They produce sunlight#They remove all oxygen
What is biodiversity?|The variety of living organisms in an area#The number of buildings in a city#The amount of rainfall#The temperature of a habitat
What is an ecosystem?|A community of organisms interacting with their environment#A single species only#A type of weather system#A geographical map
What is population density?|The number of people per unit area#The total number of countries#The number of buildings only#The amount of rainfall
What is urbanisation?|The growth of towns and cities#The movement of planets#The growth of forests#The reduction of population
Why do people migrate?|For reasons such as work, education, family or safety#Because maps require movement#Because everyone must leave their country#Because cities cannot grow
What is a primary source in history?|Evidence created during the period being studied#A modern summary written later#A fictional novel#A recent opinion article
What is a secondary source?|An interpretation or account created after the event#An original historical document#A photograph taken during an event#An object from an archaeological site
What is an economy?|A system involving the production, distribution and consumption of goods and services#A type of government building#A natural ecosystem#A weather pattern
What is international trade?|The exchange of goods and services between countries#Travel between cities only#A local school activity#The exchange of historical documents
Why are taxes collected by governments?|To fund public services and infrastructure#To stop all businesses#To prevent people from working#To remove public services
What is sustainable development?|Development that meets present needs without seriously harming future generations#Building as quickly as possible#Using all natural resources immediately#Stopping all economic activity
What is Indonesia's Proclamation of Independence?|A declaration announcing Indonesia's independence#A traditional ceremony#A trade agreement#A school regulation
On what date was Indonesian independence proclaimed?|17 August 1945#10 November 1945#28 October 1928#1 June 1945
Who signed the Proclamation of Indonesian Independence?|Soekarno and Mohammad Hatta#Soekarno and Ki Hajar Dewantara#Mohammad Hatta and Diponegoro#Bung Tomo and Soekarno
What was the Sumpah Pemuda?|A declaration of youth unity in 1928#A declaration of independence#A military agreement#A national holiday
What important idea was promoted by the Sumpah Pemuda?|Unity as one nation, one people and one language#Regional independence#Economic competition#Colonial government
Who founded Taman Siswa?|Ki Hajar Dewantara#Soekarno#Mohammad Hatta#Bung Tomo
What was Ki Hajar Dewantara's major contribution?|Education in Indonesia#Military technology#International trade#Architecture
Which Indonesian heroine is associated with women's education and emancipation?|R. A. Kartini#Cut Nyak Dien#Martha Christina Tiahahu#Dewi Sartika
What happened on 10 November 1945 in Surabaya?|A major battle occurred during the struggle for independence#Indonesia proclaimed independence#The Youth Pledge was made#Pancasila was created
Who became a well-known figure during the Battle of Surabaya?|Bung Tomo#Ki Hajar Dewantara#R. A. Kartini#Mohammad Hatta
What does Bhinneka Tunggal Ika emphasise?|Unity in diversity#One culture only#One ethnic group#One island
What is Pancasila?|The philosophical foundation of the Indonesian state#A historical battle#A traditional musical instrument#A political party
Which organisation is associated with the beginning of the Indonesian National Awakening in 1908?|Budi Utomo#Sumpah Pemuda#Taman Siswa#BPUPKI
What is the main function of an operating system?|To manage computer hardware and software resources#To provide electricity#To print documents only#To connect a mouse only
Which component performs most of the computer's processing?|CPU#Monitor#Keyboard#Speaker
What does RAM provide?|Temporary storage for data and programs in use#Permanent paper storage#Internet access only#Power for the computer
What is secondary storage used for?|Keeping data and programs for long-term use#Displaying images#Typing text#Producing sound
What is a database?|An organised collection of data#A computer screen#A programming cable#A type of keyboard
What is a search engine?|A service used to find information on the Internet#A computer processor#A file format#A type of printer
What is an IP address?|An address used to identify a device or interface on a network#A password#A file name#A programming language
What is encryption?|Transforming information so it is difficult for unauthorised people to read#Deleting information#Printing information#Increasing screen brightness
What is phishing?|A fraudulent attempt to obtain sensitive information#A programming method#A type of computer hardware#A search engine
What should you do if you receive a suspicious link?|Do not click it and report or ask a trusted adult#Click it immediately#Forward it to everyone#Enter your password
What is two-factor authentication?|A security method requiring two forms of verification#Two computers connected together#Two passwords shared publicly#A type of software update
What is an algorithm?|A sequence of clear steps used to solve a problem#A computer virus#A type of monitor#A storage device
What is a conditional statement in programming?|An instruction that performs an action depending on a condition#A command that always repeats#A computer cable#A type of database
What is a loop in programming?|A structure that repeats instructions#A way to delete files#A type of computer screen#A network address
What is debugging?|Identifying and correcting errors in a program#Creating a password#Installing hardware#Downloading a picture
What is a variable?|A named storage location whose value can change#A fixed image#A computer monitor#A network cable
What does a spreadsheet cell contain?|A value or formula#Only a picture#Only a password#Only a webpage
Which formula calculates the total of cells A1 to A5?|=SUM(A1:A5)#=TOTAL(A1-A5)#=ADD(A1:A5)#=PLUS(A1:A5)
What is cloud computing?|Using remote computing resources over a network such as the Internet#Using a computer only during cloudy weather#Saving data only on paper#Using a computer without electricity
Which device connects a computer to a wireless network?|Wireless adapter#Printer#Monitor#Keyboard
Which planet is the largest in our Solar System?|Jupiter#Saturn#Earth#Neptune
Which planet is famous for its prominent ring system?|Saturn#Mars#Venus#Mercury
What is the largest ocean on Earth?|Pacific Ocean#Atlantic Ocean#Indian Ocean#Arctic Ocean
Which continent has the largest population?|Asia#Africa#Europe#Australia
What is the chemical symbol for sodium?|Na#So#S#Sd
What is the smallest unit of life?|Cell#Organ#Tissue#Organism
Which blood component helps blood clot?|Platelets#Red blood cells#White blood cells#Plasma
What is the approximate speed of light?|300,000 km/s#3,000 km/s#30,000 km/s#3,000,000 km/s
Which instrument measures atmospheric pressure?|Barometer#Thermometer#Anemometer#Seismometer
What is the main gas in Earth's atmosphere?|Nitrogen#Oxygen#Carbon dioxide#Hydrogen
