12 + 15 =|27#26#28#25
Ibu Fatmawati dikenal sebagai|Penjahit bendera pusaka#Guru#Pelukis#Dokter
Monumen Nasional berada di|Jakarta#Bandung#Semarang#Surabaya
45 + 24 =|69#68#70#71
38 + 27 =|65#64#66#67
54 + 15 =|69#68#70#71
72 - 26 =|46#45#47#48
91 - 34 =|57#56#58#59
9 × 5 =|45#40#50#35
8 × 4 =|32#28#36#30
7 × 3 =|21#18#24#20
24 / 4 =|6#5#7#8
35 / 5 =|7#5#6#8
Bilangan ganjil adalah|37#40#52#64
Bilangan genap adalah|48#35#57#61
Nilai satuan pada angka 73 adalah|3#7#73#0
Bangun datar yang memiliki tiga sisi adalah|Segitiga#Persegi#Lingkaran#Oval
Jam memiliki|60 menit#30 menit#100 menit#24 menit
Sinonim kata "senang" adalah|Gembira#Sedih#Malas#Marah
Antonim kata "cepat" adalah|Lambat#Tinggi#Pendek#Besar
Kalimat yang menggunakan huruf kapital dengan benar adalah|Budi pergi ke sekolah.#Budi pergi ke sekolah.#Budi Pergi ke sekolah.#Budi pergi Ke sekolah.
Tanda baca di akhir kalimat perintah adalah|.#?#`#:`
Kata yang termasuk kata kerja adalah|Menulis#Meja#Buku#Sekolah
Benda cair yang kita minum adalah|Air#Batu#Kayu#Kapas
Hewan pemakan rumput disebut|Herbivora#Karnivora#Omnivora#Serangga
Akar tumbuhan berfungsi untuk|Menyerap air#Menghasilkan bunga#Melihat#Mendengar
Siang hari terasa lebih terang karena|Matahari#Bulan#Bintang#Lampu
Angin adalah udara yang|Bergerak#Diam#Membeku#Mengeras
Profesi yang memadamkan kebakaran adalah|Pemadam kebakaran#Guru#Dokter#Nelayan
Tempat kita belajar adalah|Sekolah#Pasar#Terminal#Sawah
Jika lampu lalu lintas berwarna merah# kita harus|Berhenti#Berjalan#Berlari#Belok
Kita harus menjaga kebersihan|Lingkungan#Jalan orang lain#Mainan teman tanpa izin#Sampah
Sila ketiga Pancasila berbunyi|Persatuan Indonesia#Ketuhanan Yang Maha Esa#Kemanusiaan yang Adil dan Beradab#Keadilan Sosial
Perangkat untuk mencetak dokumen adalah|Printer#Monitor#Mouse#Keyboard
Internet dapat digunakan untuk|Belajar#Membuang sampah#Tidur#Berenang
