125 + 36 =|161#151#162#171
Alat untuk mengukur panjang adalah|Penggaris#Timbangan#Termometer#Jam
Hasil dari 325 + 175 adalah|500#490#510#505
Hasil dari 750 - 225 adalah|525#515#535#530
15 × 6 =|90#80#95#96
144 / 12 =|12#10#11#14
Bilangan prima yang paling kecil adalah|2#1#3#5
Sudut siku-siku besarnya|90 derajat#45 derajat#180 derajat#60 derajat
Segitiga memiliki jumlah sisi|3#2#4#5
Gagasan utama biasanya terdapat pada|Kalimat utama#Judul#Gambar#Penutup
Paragraf yang baik terdiri atas beberapa|Kalimat#Huruf#Angka#Gambar
Lawan kata "kuat" adalah|Lemah#Besar#Tinggi#Cepat
Kata "bersepeda" memiliki awalan|Ber#Sepeda#Be#Da
Kata yang termasuk kata sifat adalah|Rajin#Sekolah#Berlari#Buku
Tanda koma digunakan untuk|Memisahkan beberapa unsur#Mengakhiri kalimat#Mengawali dialog#Mengganti titik
Hewan yang bernapas dengan insang adalah|Ikan#Ayam#Kucing#Sapi
Contoh benda padat adalah|Batu#Air#Minyak#Uap
Gaya yang menyebabkan benda jatuh adalah|Gaya gravitasi#Gaya magnet#Gaya listrik#Gaya pegas
Contoh sumber daya alam yang dapat diperbarui adalah|Air#Hutan besi#Minyak bumi#Batubara
Pekerjaan yang menghasilkan padi adalah|Petani#Nelayan#Dokter#Guru
Kegiatan ekonomi yang menjual barang disebut|Perdagangan#Pertanian#Peternakan#Perikanan
Indonesia terdiri atas banyak|Pulau#Gunung#Benua#Planet
Contoh alat transportasi laut adalah|Kapal#Kereta api#Pesawat#Sepeda
Musyawarah dilakukan untuk mencapai|Mufakat#Pertengkaran#Perlombaan#Hukuman
Sikap yang sesuai sila kedua Pancasila adalah|Menolong teman#Mengejek teman#Berkelahi#Berbohong
Perangkat untuk memasukkan suara ke komputer adalah|Mikrofon#Monitor#Printer#Scanner
Scanner digunakan untuk|Memindai dokumen#Mencetak dokumen#Memutar musik#Mengetik
Kita tidak boleh membagikan password kepada|Orang lain#Guru#Orang tua#Sendiri
