3456 + 2789 =|6245#6235#6255#6246
Kata "bertanggung jawab" menunjukkan sikap|Positif#Negatif#Malas#Egois
Fungsi paru-paru adalah|Pertukaran oksigen dan karbon dioksida#Memompa darah#Mencerna makanan#Menyaring darah
Tulang yang melindungi otak adalah|Tulang tengkorak#Tulang rusuk#Tulang paha#Tulang belakang
Gerhana bulan terjadi ketika|Bumi berada di antara matahari dan bulan#Bulan berada di antara matahari dan bumi#Matahari berada di antara bumi dan bulan#Awan menutupi bulan
Gaya yang menyebabkan benda tetap di permukaan bumi adalah|Gravitasi#Gesek#Otot#Magnet
Contoh konduktor panas adalah|Besi#Kayu#Karet#Plastik
Sumber energi yang tidak dapat diperbarui adalah|Minyak bumi#Angin#Matahari#Air
Ibukota Kamboja adalah|Phnom Penh#Hanoi#Bangkok#Vientiane
Contoh kegiatan distribusi adalah|Mengirim barang ke toko#Membuat roti#Membeli makanan#Menanam padi
Indonesia berada di antara Benua Asia dan|Australia#Afrika#Eropa#Amerika
Mata uang Singapura adalah|Dollar Singapura#Ringgit#Baht#Rupiah
Semboyan negara Indonesia adalah|Bhinneka Tunggal Ika#Tut Wuri Handayani#Merdeka atau Mati#Ing Ngarsa Sung Tuladha
Pemilihan ketua kelas sebaiknya dilakukan secara|Musyawarah atau demokratis#Paksa#Acak#Diam-diam
Lembaga yang membuat undang-undang adalah|DPR#MPR#MA#BPK
Norma yang mengatur kehidupan berbangsa adalah|Norma hukum#Norma mode#Norma permainan#Norma cuaca
Browser yang sering digunakan untuk internet adalah|Google Chrome#Microsoft Word#Paint#Calculator
Ekstensi file PDF adalah|.pdf#.docx#.xlsx#.pptx
Data di internet harus dijaga agar tidak terjadi|Kebocoran data#Kecepatan internet#Listrik padam#Cetak dokumen
Spam adalah|Pesan yang tidak diinginkan#File musik#Dokumen penting#Program antivirus
Artificial Intelligence disingkat|AI#IT#CPU#RAM
The opposite of "difficult" is|Easy#Hard#High#Long
My mother ___ delicious food every day.|Cooks#Cook#Cooking#Cooked
They ___ to Bali last holiday.|Went#Go#Goes#Going
There are ___ months in a year.|Twelve#Ten#Eleven#Thirteen
The largest planet in our solar system is|Jupiter#Mars#Earth#Venus
"Don't run in the classroom." berarti|Jangan berlari di dalam kelas.#Berlarilah di dalam kelas.#Masuklah ke dalam kelas.#Bersihkan ruang kelas.
Indonesia declared independence on|17 August 1945#18 August 1945#1 June 1945#10 November 1945
Tokoh yang mengetik naskah Proklamasi adalah|Sayuti Melik#Soekarno#Mohammad Hatta#Ahmad Soebardjo
Peristiwa Rengasdengklok terjadi sebelum|Proklamasi Kemerdekaan#Sumpah Pemuda#Konferensi Asia Afrika#Reformasi
BPUPKI dibentuk pada tahun|1945#1944#1946#1947
Ketua PPKI adalah|Soekarno#Mohammad Hatta#Dr. Radjiman Wedyodiningrat#Ahmad Soebardjo
Bendera Merah Putih pertama kali dikibarkan saat|Proklamasi Kemerdekaan#Sumpah Pemuda#Pembentukan BPUPKI#Konferensi Meja Bundar
Jenderal Sudirman dikenal sebagai|Panglima Besar TNI#Bapak Pendidikan Nasional#Bapak Koperasi#Wakil Presiden pertama
Hari Pendidikan Nasional diperingati setiap|2 Mei#21 April#17 Agustus#10 November
Konferensi Asia Afrika diselenggarakan di|Bandung#Jakarta#Yogyakarta#Surabaya
